"Salary","NBA_DraftNumber","Age","MP","PER","TS%","DRB%","VORP","G","OBPM","DBPM","BPM","OWS","DWS","WS","AST%","STL%"
19.9768378704696,43,22,87,0.6,0.303,16.8,-0.2,16,-10.6,0.5,-10.1,-0.4,0.1,-0.2,1.5,1.1
27.484099869772,42,33,937,16.8,0.608,25,0.7,66,-0.6,1.3,0.8,1.7,1.4,3.1,15.4,1.9
36.2943360698127,19,36,1508,17.3,0.529,23.8,0,59,-0.6,-1.3,-1.9,0.3,1.1,1.4,14.9,1.4
26.9897689626765,13,22,656,14.6,0.499,14.4,-0.1,24,-0.7,-2,-2.6,-0.1,0.5,0.4,18.6,1.8
26.7160653603957,10,20,979,8.2,0.487,18.3,-0.2,62,-3.7,0.9,-2.9,-0.4,1.2,0.8,7.3,0.8
22.1814498023565,62,24,2238,11.5,0.543,11.3,0.6,79,-0.4,-0.5,-0.9,1.6,1.6,3.1,13.3,1.4
11.7878893418305,62,30,7,-4.9,0,15.4,0,2,-12.6,-0.7,-13.3,-0.1,0,0,0,7.2
10.6162892681935,62,23,118,0.9,0.315,5,-0.3,5,-8.7,-1.9,-10.6,-0.5,0.1,-0.4,23.2,2.6
36.1038879476382,23,30,2200,11.1,0.543,14,0.5,70,-0.4,-0.6,-1,2,1,3.1,9.7,0.9
22.6233722471354,35,23,430,20.6,0.592,25.2,0.3,45,-0.1,0.6,0.5,0.8,0.6,1.4,11,1.8
23.0960072070477,62,27,428,19.2,0.671,21.7,0.1,42,-0.8,0,-0.8,1,0.5,1.6,3.6,1
27.8683811897843,6,24,1943,17.1,0.523,21.7,1,70,-1.6,1.6,0,1.3,2,3.3,13.5,1.9
27.5804028466611,40,27,2530,15.9,0.557,14.2,1.8,77,1.4,-0.6,0.8,3.9,1.7,5.6,18.5,1.6
39.4042590685013,62,31,2131,11.4,0.541,9.1,1.2,63,0.2,-0.1,0.2,1,1.7,2.7,12.3,1.8
30.8520114185602,4,30,1422,9.8,0.512,14,0.8,70,-2.2,2.5,0.3,-0.1,1.8,1.7,5.3,2.5
